title,sell_price,orig_price,rating,num_ratings
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,789 Ratings & 488 Reviews"
realme 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,"₹27,999","₹32,999",4.3,"31,892 Ratings & 3,642 Reviews"
realme 80 cm (32 inch) Full HD LED Smart Android TV,"₹16,499","₹23,999",4.2,"9,387 Ratings & 1,264 Reviews"
Thomson 9A Series 106 cm (42 inch) Full HD LED Smart Android TV,"₹18,999","₹27,999",4.3,"85,977 Ratings & 17,983 Reviews"
Thomson OATHPRO Max 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,"₹28,999","₹46,999",4.5,"27,887 Ratings & 7,261 Reviews"
"Dyanora 100 cm (40 inch) HD Ready LED Smart Android Based TV with Noise Reduction,Android 9.0,Google V...","₹13,899","₹23,999",4.1,"3,789 Ratings & 488 Reviews"
"Dyanora 109 cm (43 inch) Full HD LED Smart Android TV with Noise Reduction, Android 9.0, Google Voice ...","₹16,649","₹32,999",4.1,"3,789 Ratings & 488 Reviews"
,,,,
,,,,
Vu 138 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV,"₹32,999","₹65,000",4.4,"24,376 Ratings & 3,817 Reviews"
Thomson OATHPRO Max 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,"₹33,999","₹54,999",4.5,"27,887 Ratings & 7,261 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,799","₹12,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"13,195 Ratings & 1,891 Reviews"
MOTOROLA Revou 2 80 cm (32 inch) HD Ready LED Smart Android TV with Sound by boAt,"₹14,999","₹20,000",4.3,"1,702 Ratings & 241 Reviews"
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹9,499","₹18,499",4.4,"36,170 Ratings & 7,945 Reviews"
SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV,"₹27,990","₹38,900",4.4,"4,528 Ratings & 488 Reviews"
SONY Bravia 125.7 cm (50 inch) Ultra HD (4K) LED Smart Google TV,"₹52,999","₹85,900",4.6,"2,467 Ratings & 498 Reviews"
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"13,195 Ratings & 1,891 Reviews"
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV with Alpha5 Gen5 AI Processor | (Ceramic Black) (2022 M...,"₹15,990","₹23,990",4.4,"1,259 Ratings & 172 Reviews"
Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Atmos,"₹31,999","₹49,999",4.3,"48,763 Ratings & 4,460 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,195 Ratings & 1,891 Reviews"
BeethoSOL 109 cm (43 inch) Full HD LED Smart Android TV,"₹15,499","₹41,990",3.9,236 Ratings & 24 Reviews
Blaupunkt Cybersound 80 cm (32 inch) HD Ready LED Smart Android TV with 40W Speaker,"₹11,110","₹19,499",4.4,"9,650 Ratings & 2,175 Reviews"
Compaq 102 cm (40 inch) Full HD LED Smart Android TV,"₹15,999","₹29,999",4.3,134 Ratings & 31 Reviews
"Dyanora 80 cm (32 inch) HD Ready LED Smart Android TV with Noise Reduction, Android 9.0, Powerful Audi...","₹8,699","₹18,999",4.1,"3,789 Ratings & 488 Reviews"
Coocaa 80 cm (32 inch) HD Ready LED Smart Coolita TV with Dolby Audio and Eye Care Technology,"₹8,999","₹36,990",4.2,"17,996 Ratings & 2,768 Reviews"
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,789 Ratings & 488 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹7,399","₹15,999",4.1,"3,789 Ratings & 488 Reviews"
TCL S5200 108 cm (43 inch) Full HD LED Smart Android TV,"₹19,990","₹47,990",4.3,90 Ratings & 17 Reviews
Thomson R9 60 cm (24 inch) HD Ready LED TV,"₹7,499","₹10,499",4.1,"58,056 Ratings & 8,327 Reviews"
"Dyanora 100 cm (40 inch) HD Ready LED Smart Android Based TV with Noise Reduction,Android 9.0,Google V...","₹13,899","₹23,999",4.1,"3,789 Ratings & 488 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","₹6,999","₹12,999",4.1,"3,789 Ratings & 488 Reviews"
,,,,
,,,,
Thomson OATHPRO Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & D...,"₹26,999","₹40,999",4.5,"27,887 Ratings & 7,261 Reviews"
TOSHIBA C350LP 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision Atmos and REGZA En...,"₹27,990","₹34,990",4.3,169 Ratings & 40 Reviews
TCL C725 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV (Black) (2021 Model) | With Video Call C...,"₹40,990","₹1,16,990",3.9,68 Ratings & 12 Reviews
Compaq 80 cm (32 inch) HD Ready LED Smart Android TV,"₹10,999","₹21,999",4.2,347 Ratings & 74 Reviews
